title,popularity,vote_average,vote_count,genre
Lucy,56.2,6.4,14849,Action
Eurovision Song Contest: The Story of Fire Saga,13.8,6.4,1214,Comedy
Scream 4,93.6,6.4,3109,Horror
Made of Honor,13.8,6.4,1496,Comedy
The Fast and the Furious: Tokyo Drift,29.8,6.4,5912,Action
Old,53.6,6.4,3573,Thriller
Camp Rock,14.9,6.4,1953,Family
Ella Enchanted,33.7,6.4,1650,Family
I Love You Phillip Morris,11.8,6.4,1450,Comedy
The Perfect Storm,22.5,6.4,1956,Action
Star Trek: Insurrection,18.7,6.4,1035,Science Fiction
Imperium,14.1,6.4,1165,Crime
The Chronicles of Narnia: The Voyage of the Dawn Treader,34.4,6.4,5057,Adventure
Robots,35.0,6.4,4074,Animation
16 Blocks,17.5,6.4,1722,Action
The Loft,28.2,6.4,1315,Thriller
Man on a Ledge,21.4,6.4,2337,Action
Syriana,14.2,6.4,1185,Drama
Two Night Stand,15.0,6.4,1709,Romance
What Women Want,20.3,6.4,3494,Comedy
The Other Woman,21.7,6.4,3282,Comedy
Rush Hour 3,40.7,6.4,2778,Action
Life,27.8,6.4,6626,Horror
Spectral,26.6,6.4,1499,Science Fiction
Revenge,23.2,6.4,1523,Action
The Old Man & the Gun,9.0,6.4,1252,Comedy
Jay and Silent Bob Strike Back,16.0,6.4,1343,Comedy
Dead Silence,42.1,6.4,1993,Horror
The Hills Have Eyes,43.5,6.4,2589,Horror
Bridget Jones's Baby,14.1,6.4,2689,Comedy
Thoroughbreds,10.7,6.4,1011,Drama
Tango & Cash,21.4,6.4,1631,Action
What Lies Beneath,20.6,6.4,1587,Drama
The Spy Who Dumped Me,13.6,6.4,2030,Action
The Gift,16.2,6.4,1018,Horror
The Number 23,15.8,6.4,2886,Thriller
I Feel Pretty,19.7,6.4,1911,Comedy
The Final Girls,12.3,6.4,1109,Comedy
Last Action Hero,22.3,6.4,2332,Adventure
The Guilty,30.1,6.4,2161,Drama
The Magnificent Seven,46.0,6.4,5403,Adventure
Shanghai Noon,18.9,6.4,2222,Adventure
Knock at the Cabin,507.2,6.4,1397,Horror
Roald Dahl's The Witches,65.8,6.4,2497,Adventure
Self/less,24.0,6.4,2806,Science Fiction
Wonder Wheel,13.4,6.4,1224,Drama
X-Men: The Last Stand,1.7,6.4,8737,Adventure
Lady and the Tramp II: Scamp's Adventure,21.6,6.4,1133,Family
Shall We Dance?,12.7,6.4,1078,Drama
Cargo,11.4,6.4,1552,Drama
Central Intelligence,35.6,6.4,5297,Action
27 Dresses,15.8,6.4,2854,Comedy
The Purge: Election Year,35.4,6.4,4796,Action
Run All Night,25.2,6.4,2553,Action
Last Vegas,14.5,6.4,1954,Comedy
Gone in Sixty Seconds,29.1,6.4,3883,Action
Zathura: A Space Adventure,28.7,6.4,2912,Science Fiction
Atomic Blonde,19.9,6.4,5728,Action
Kick-Ass 2,26.7,6.4,5664,Action
Mary Shelley's Frankenstein,13.0,6.4,1063,Drama
American Assassin,22.2,6.4,2700,Action
Solace,32.8,6.4,2013,Thriller
Kronk's New Groove,20.3,6.4,1118,Animation
Annihilation,33.5,6.4,7770,Science Fiction
Ted,56.6,6.4,11246,Comedy
Minions,32.5,6.4,9797,Family
8MM,13.0,6.4,1698,Thriller
The Babysitter: Killer Queen,26.9,6.4,1355,Comedy
Dracula Untold,23.7,6.4,5559,Horror
Salt,31.5,6.4,4977,Action
Music and Lyrics,12.9,6.4,1498,Comedy
Mars Attacks!,20.3,6.4,4864,Comedy
The A-Team,32.4,6.4,4202,Thriller
Outlander,18.7,6.4,1098,Science Fiction
The Wolverine,9.0,6.4,8748,Action
Sweet Home Alabama,17.4,6.4,1346,Comedy
30 Days of Night,19.4,6.4,2412,Horror
Friday the 13th,38.7,6.4,2474,Horror
Second Act,12.9,6.4,1084,Romance
Gerald's Game,18.3,6.4,3259,Horror
Secret in Their Eyes,13.1,6.4,1224,Thriller
Star Wars: The Rise of Skywalker,67.1,6.4,8718,Adventure
Drag Me to Hell,38.2,6.4,3243,Horror
Looney Tunes: Back in Action,19.9,6.4,1351,Animation
Outside the Wire,42.6,6.4,1600,Thriller
Someone Great,12.5,6.4,1105,Comedy
Darkman,10.6,6.4,1133,Action
Gremlins 2: The New Batch,24.0,6.4,2207,Comedy
Tall Girl,19.2,6.4,1737,Comedy
Under the Silver Lake,18.0,6.4,1140,Crime
Arthur and the Invisibles,22.7,6.4,2632,Adventure
The Experiment,28.3,6.4,1079,Thriller
The Iron Lady,11.3,6.4,1554,History
Adventureland,13.8,6.4,1935,Comedy
Spider-Man 3,60.6,6.4,12658,Fantasy
Olympus Has Fallen,43.2,6.4,6059,Action
Robin Hood,41.6,6.4,4127,Action
Aquamarine,17.5,6.4,1338,Fantasy
Revolver,15.8,6.4,1178,Drama
Saw III,34.6,6.4,3853,Horror
Tale of Tales,15.8,6.4,1510,Romance
The Imaginarium of Doctor Parnassus,12.3,6.4,2487,Adventure
District 13: Ultimatum,15.0,6.4,1015,Action
Crocodile Dundee,14.2,6.4,1646,Adventure
The Lost City of Z,21.7,6.4,2563,Adventure
Pete's Dragon,37.5,6.4,2022,Adventure
Diamonds Are Forever,20.0,6.4,1788,Adventure
Vantage Point,13.3,6.4,1818,Drama
Sister Act 2: Back in the Habit,20.8,6.4,1575,Music
Need for Speed,46.8,6.4,3918,Action
Moonfall,127.6,6.4,2388,Science Fiction
Taking Lives,14.3,6.4,1367,Crime
Why Him?,19.2,6.4,3774,Comedy
Creep,13.2,6.4,1179,Horror
Accepted,18.1,6.4,1381,Comedy
Cellular,13.2,6.4,1677,Action
The 40 Year Old Virgin,19.4,6.4,6025,Comedy
Arachnophobia,10.2,6.4,1189,Comedy
Space Cowboys,14.4,6.4,1193,Action
Hardcore Henry,31.6,6.4,2131,Action
Insurgent,47.5,6.4,9337,Action
The Nanny Diaries,12.3,6.4,1004,Comedy
Sin City: A Dame to Kill For,34.5,6.4,3435,Crime
The Awakening,12.9,6.4,1250,Horror
Surf's Up,24.3,6.4,2174,Animation
Turner & Hooch,13.5,6.4,1117,Action
Warcraft,43.3,6.4,6179,Action
The Family,17.8,6.4,2669,Crime
Hide and Seek,20.5,6.4,1402,Horror
Grown Ups,82.9,6.4,5393,Comedy
The Messenger: The Story of Joan of Arc,27.0,6.4,1257,Adventure
Men in Black II,36.3,6.4,8968,Action
The Shallows,18.7,6.4,4667,Horror
Gangster Squad,15.8,6.4,3721,Crime
Two Weeks Notice,15.0,6.4,1843,Comedy
Ice Age: Continental Drift,56.6,6.4,6851,Animation
Nacho Libre,40.7,6.4,1366,Comedy
Licence to Kill,21.4,6.4,1656,Adventure
Tomb Raider,33.8,6.4,7140,Action
Red Eye,17.0,6.4,1653,Thriller
Alien³,23.8,6.3,4881,Science Fiction
Days of Thunder,17.9,6.4,1253,Adventure
A Dangerous Method,12.1,6.3,1849,Drama
Due Date,22.3,6.3,4917,Comedy
Over the Top,19.3,6.3,1441,Action
Savages,13.1,6.3,1963,Crime
Wild Things,19.4,6.3,1478,Mystery
The Hot Chick,29.7,6.3,1770,Comedy
6 Underground,36.8,6.3,4203,Action
Hancock,55.8,6.3,8704,Fantasy
The Commuter,21.9,6.3,3998,Action
Wrong Turn,49.4,6.3,2307,Horror
Resident Evil: Apocalypse,19.8,6.3,3822,Horror
Mr. Bean's Holiday,19.7,6.3,2535,Family
Edge of Darkness,12.3,6.3,1364,Crime
Talladega Nights: The Ballad of Ricky Bobby,16.0,6.3,1438,Comedy
The Recruit,10.5,6.3,1524,Action
Atlantis: Milo's Return,23.6,6.3,3683,Fantasy
The Mummy Returns,51.4,6.3,6261,Adventure
Vampire Academy,14.6,6.3,1628,Comedy
Along Came a Spider,22.1,6.3,1626,Crime
Shrek Forever After,90.1,6.3,6528,Comedy
The Blair Witch Project,30.9,6.3,4174,Horror
DodgeBall: A True Underdog Story,27.1,6.3,3089,Comedy
Tomorrow Never Dies,26.1,6.3,2704,Adventure
Babysitting 2,11.6,6.3,1232,Comedy
Taken 2,50.3,6.3,6042,Action
Hostage,18.3,6.3,1441,Action
Machete,28.0,6.3,2938,Action
Lights Out,25.8,6.3,3524,Horror
The Little Things,27.8,6.3,2021,Crime
Sierra Burgess Is a Loser,14.4,6.3,3316,Comedy
Morning Glory,14.0,6.3,1325,Comedy
Sex Drive,24.1,6.3,1163,Comedy
Vampires,13.8,6.3,1061,Action
The Taking of Pelham 1 2 3,15.1,6.3,2782,Thriller
RRRrrrr!!!,17.4,6.3,1052,Comedy
Indecent Proposal,23.7,6.3,1209,Romance
Camp Rock 2: The Final Jam,19.3,6.3,1412,Comedy
Scary Movie,82.0,6.3,6135,Comedy
Skyscraper,30.4,6.3,4484,Action
A Bad Moms Christmas,18.6,6.3,1876,Comedy
Kate & Leopold,16.8,6.3,1187,Romance
Cannibal Holocaust,41.7,6.3,1389,Horror
A-X-L,43.8,6.3,1080,Science Fiction
I Spit on Your Grave 2,36.8,6.3,1101,Thriller
Beastly,19.9,6.3,2600,Drama
Van Helsing,47.6,6.3,5248,Horror
Contraband,20.5,6.3,1892,Thriller
Walking Tall,24.4,6.3,1320,Adventure
Countdown,55.4,6.3,1814,Horror
Happy Death Day 2U,17.9,6.3,3022,Comedy
Jason Bourne,32.2,6.3,5212,Action
She's All That,27.1,6.3,1862,Comedy
Gemini Man,26.1,6.3,4592,Science Fiction
Goosebumps,31.9,6.3,3426,Adventure
A Walk Among the Tombstones,32.2,6.3,2555,Crime
Premium Rush,14.1,6.3,1889,Crime
A Cure for Wellness,21.0,6.3,3489,Horror
Faster,24.7,6.3,1694,Crime
National Treasure: Book of Secrets,35.0,6.3,4625,Action
The Expendables 2,33.4,6.3,6109,Action
The Jackal,14.8,6.3,1629,Action
Crawl,36.5,6.3,2741,Thriller
Smurfs: The Lost Village,33.5,6.3,1279,Family
A Perfect Getaway,13.7,6.3,1095,Thriller
Quantum of Solace,25.5,6.3,7108,Adventure
Repo Men,10.9,6.3,1707,Action
The Lizzie McGuire Movie,13.7,6.3,1160,Family
The Visit,33.7,6.3,4217,Mystery
Jack,10.8,6.3,1109,Family
Octopussy,22.8,6.3,1679,Adventure
Transporter 2,25.4,6.3,3154,Action
Ace Ventura: When Nature Calls,21.5,6.3,3667,Crime
You Again,15.9,6.3,1146,Comedy
"Roman J. Israel, Esq.",15.3,6.3,1108,Drama
Casper,33.5,6.3,4150,Fantasy
The Sum of All Fears,17.4,6.3,1489,Thriller
Unfriended: Dark Web,16.0,6.3,1353,Horror
The Fourth Kind,17.7,6.3,1506,Mystery
Idiocracy,36.9,6.3,2402,Comedy
The Punisher,42.3,6.3,2464,Action
The Discovery,11.5,6.3,1173,Drama
Honey,14.0,6.3,1070,Music
Bend It Like Beckham,12.5,6.3,1694,Comedy
The Interpreter,13.1,6.3,1270,Crime
Underworld: Awakening,40.9,6.3,3692,Fantasy
Astro Boy,27.4,6.3,1346,Animation
Baby's Day Out,40.5,6.3,1144,Family
Underwater,30.9,6.3,2709,Horror
It Boy,53.6,6.3,1152,Comedy
Horns,17.1,6.3,2103,Drama
Halloween Ends,88.1,6.3,1270,Horror
The Bar,13.8,6.3,1202,Horror
Vacation,44.9,6.3,3370,Comedy
Bastille Day,15.8,6.3,1187,Action
Hackers,16.0,6.3,1071,Action
Twilight,99.2,6.3,12365,Fantasy
Dark Skies,22.3,6.3,1603,Science Fiction
No Strings Attached,41.7,6.3,4274,Comedy
City of Ember,23.2,6.3,1562,Adventure
Triple Frontier,28.1,6.3,2804,Action
The Host,29.1,6.3,3709,Action
Insidious: Chapter 3,48.2,6.3,2962,Horror
Behind Enemy Lines,16.1,6.3,1252,Action
Star Trek: Nemesis,18.9,6.3,1232,Science Fiction
Colossal,17.7,6.3,1841,Drama
Riddick,46.4,6.3,3681,Science Fiction
16 Wishes,14.9,6.3,1192,Fantasy
Inkheart,21.3,6.3,1927,Adventure
Blockers,28.8,6.3,1811,Comedy
The Huntsman: Winter's War,29.4,6.3,4487,Action
The Raven,16.7,6.3,1198,Crime
17 Again,30.2,6.3,4651,Comedy
Resident Evil: Extinction,8.7,6.3,3671,Horror
Shrek the Third,89.3,6.3,8055,Fantasy
Ted 2,75.6,6.3,6694,Comedy
Zack and Miri Make a Porno,45.9,6.3,2092,Comedy
Look Who's Talking,11.9,6.3,2065,Comedy
Bill & Ted's Bogus Journey,15.0,6.3,1034,Adventure
Case 39,20.3,6.3,2032,Horror
The Siege,10.7,6.3,1153,Drama
American Reunion,49.3,6.3,4035,Comedy
The Other Guys,32.7,6.3,3701,Action
Be Kind Rewind,10.0,6.3,1177,Drama
Nanny McPhee and the Big Bang,30.5,6.3,1658,Comedy
Daybreakers,18.1,6.3,1740,Action
Godzilla,60.6,6.3,8152,Action
The Losers,27.2,6.3,1598,Action
Cheaper by the Dozen,22.0,6.3,2537,Comedy
"Honey, I Shrunk the Kids",18.9,6.3,2687,Adventure
War,24.7,6.3,1470,Action
Harold & Kumar Escape from Guantanamo Bay,19.2,6.3,1278,Comedy
Power Rangers,64.2,6.3,4103,Action
Premonition,13.7,6.3,1378,Thriller
True Story,8.4,6.3,1772,Crime
Winter's Tale,15.0,6.3,1231,Drama
John Carter,55.6,6.3,5082,Action
Once Upon a Time in Mexico,21.7,6.3,1918,Action
Daddy's Home 2,24.6,6.3,2280,Comedy
Child 44,22.1,6.3,1490,Crime
Austin Powers: The Spy Who Shagged Me,25.5,6.3,2931,Adventure
Aladdin and the King of Thieves,23.0,6.3,1675,Adventure
The Karate Kid Part II,21.5,6.3,1882,Adventure
Europa Report,23.1,6.3,1210,Science Fiction
Murder Mystery,52.9,6.3,3881,Comedy
Killer Elite,19.9,6.3,1885,Action
The Secret Life of Pets,14.5,6.3,7526,Adventure
The Frozen Ground,17.9,6.3,1298,Thriller
The World Is Not Enough,22.2,6.3,2554,Adventure
Return to the Blue Lagoon,30.6,6.3,1038,Adventure
Click,29.1,6.3,6319,Comedy
The Internship,0.9,6.3,3839,Comedy
King Arthur,24.6,6.3,2414,Adventure
Grave Encounters,11.7,6.3,1289,Thriller
Army of the Dead,48.5,6.3,3502,Action
Knocked Up,16.2,6.3,3556,Comedy
Daddy's Home,24.4,6.3,2866,Comedy
Universal Soldier,17.9,6.3,1423,Thriller
Saw VI,25.8,6.3,2702,Horror
Prince of Persia: The Sands of Time,44.1,6.3,6197,Adventure
Under Siege,18.6,6.3,1305,Action
Johnny English Strikes Again,23.2,6.3,2189,Action
The Purge,39.1,6.3,7667,Science Fiction
Upside Down,15.4,6.3,2301,Romance
Live by Night,11.3,6.3,1187,Crime
Johnny English,19.3,6.3,3043,Adventure
Mercury Rising,18.0,6.3,1350,Action
The BFG,38.6,6.3,3038,Adventure
Bridget Jones: The Edge of Reason,12.0,6.3,2493,Comedy
The Cell,14.9,6.3,1347,Horror
Polar,30.8,6.3,1942,Action
Tomorrowland,55.4,6.2,6468,Adventure
Splash,15.2,6.2,1164,Comedy
X-Men Origins: Wolverine,6.1,6.2,9540,Adventure
The Voices,8.3,6.2,1579,Comedy
Delivery Man,14.4,6.2,1332,Comedy
The Switch,13.7,6.2,1693,Comedy
The Return of Jafar,23.7,6.2,3121,Family
Insidious: The Last Key,54.2,6.2,2437,Horror
From Paris with Love,22.2,6.2,1768,Action
Mirrors,26.9,6.2,1619,Horror
The House with a Clock in Its Walls,20.3,6.2,1951,Fantasy
Rat Race,15.9,6.2,1573,Adventure
Ride Along 2,20.1,6.2,1519,Action
Coyote Ugly,20.9,6.2,1838,Comedy
Mama,44.5,6.2,3803,Horror
Bride Wars,26.2,6.2,2768,Comedy
Death Race,44.0,6.2,3362,Action
Unsane,15.2,6.2,1361,Horror
Legend,20.1,6.2,1042,Adventure
Flushed Away,32.5,6.2,3356,Adventure
Disclosure,15.8,6.2,1021,Thriller
Monsters,17.5,6.2,1374,Drama
Sky High,24.5,6.2,2061,Adventure
Predators,49.6,6.2,3597,Science Fiction
Predator 2,44.1,6.2,2755,Science Fiction
Ride Along,15.7,6.2,2044,Action
Pain & Gain,34.1,6.2,4010,Action
Eat Pray Love,20.0,6.2,2178,Drama
How to Be Single,30.1,6.2,2994,Comedy
Annie,30.2,6.2,1189,Comedy
Windtalkers,18.9,6.2,1097,War
Child's Play 2,39.9,6.2,1546,Horror
Speed Racer,20.8,6.2,1337,Family
Captain Underpants: The First Epic Movie,22.9,6.2,1057,Action
Taken 3,67.9,6.2,5213,Thriller
Bring It On,20.2,6.2,1509,Comedy
Taxi 2,15.3,6.2,1529,Action
Mr. Magorium's Wonder Emporium,13.1,6.2,1111,Family
Isn't It Romantic,16.8,6.2,3295,Comedy
Hannibal Rising,5.3,6.2,1939,Crime
The Crazies,15.9,6.2,1796,Mystery
Diary of a Wimpy Kid,24.5,6.2,1377,Comedy
Meet the Fockers,19.5,6.2,4310,Comedy
The Hustle,20.9,6.2,2272,Comedy
What a Girl Wants,18.4,6.2,1464,Comedy
The Twilight Saga: Eclipse,80.0,6.2,8045,Adventure
Vacancy,22.4,6.2,1247,Horror
Midnight Special,13.7,6.2,1708,Adventure
The Texas Chainsaw Massacre,39.8,6.2,2307,Horror
Fright Night,16.2,6.2,1727,Horror
This Is the End,24.2,6.2,5780,Action
Takers,19.2,6.2,1109,Action
The Ritual,23.4,6.2,2564,Horror
12 Strong,28.7,6.2,2541,War
Hoodwinked!,20.6,6.2,1571,Animation
Swordfish,16.7,6.2,2356,Action
Deliver Us from Evil,16.4,6.2,1843,Thriller
The Expendables,50.0,6.2,7001,Thriller
American Pie 2,45.0,6.2,4425,Comedy
Thir13en Ghosts,37.6,6.2,1815,Horror
Johnny English Reborn,23.3,6.2,2939,Crime
The Expendables 3,56.0,6.2,4436,Action
The Hangover Part III,52.2,6.2,7882,Comedy
The Eagle,10.5,6.2,1151,Adventure
The Bourne Legacy,28.9,6.2,5196,Action
Halloween 4: The Return of Michael Myers,21.9,6.2,1664,Horror
Charlotte's Web,18.9,6.2,1241,Comedy
Final Destination 2,39.3,6.2,3531,Horror
Halloween,24.5,6.2,2045,Horror
The Twilight Saga: Breaking Dawn - Part 1,62.4,6.2,8057,Adventure
What Men Want,14.7,6.2,1205,Comedy
The Meg,61.4,6.2,6384,Action
Billy Madison,15.6,6.2,1421,Comedy
Jigsaw,32.1,6.2,3184,Horror
San Andreas,99.6,6.2,7632,Action
J. Edgar,12.4,6.2,2206,Drama
The International,9.3,6.2,1074,Action
Kidnap,16.9,6.2,1190,Drama
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",12.7,6.2,1217,Family
Mandy,17.5,6.2,1652,Horror
Veronica,22.2,6.2,1541,Horror
Mile 22,23.0,6.2,1962,Action
Percy Jackson & the Olympians: The Lightning Thief,67.1,6.2,6796,Adventure
Dune,35.6,6.2,2475,Action
American Wedding,57.1,6.2,3677,Comedy
Monsters vs Aliens,42.3,6.2,4139,Animation
The Time Machine,22.8,6.2,1976,Science Fiction
The Incredible Hulk,59.4,6.2,10660,Science Fiction
Romeo Must Die,18.4,6.2,1012,Action
Night at the Museum: Secret of the Tomb,46.3,6.2,5358,Adventure
The Angry Birds Movie,31.4,6.2,3256,Animation
Zoolander,17.7,6.2,3958,Comedy
Code 8,17.3,6.2,1543,Science Fiction
The Thing,23.2,6.2,2547,Horror
Mad Max Beyond Thunderdome,30.5,6.2,2437,Action
Fun with Dick and Jane,15.2,6.2,2126,Comedy
A View to a Kill,25.4,6.2,1703,Adventure
Beneath the Planet of the Apes,23.2,6.2,1070,Adventure
Deep Impact,35.3,6.2,2638,Action
Babe,17.8,6.2,2567,Fantasy
Monster-in-Law,15.9,6.2,1475,Romance
Rock of Ages,21.8,6.2,1133,Comedy
House of 1000 Corpses,16.5,6.2,1389,Horror
Entrapment,16.5,6.2,1744,Romance
Free Willy,23.1,6.2,1604,Family
Gone,11.4,6.2,1032,Thriller
Land of the Dead,16.6,6.2,1368,Horror
Just Friends,16.6,6.2,1421,Comedy
Here Comes the Boom,18.0,6.2,1291,Comedy
Knight and Day,26.3,6.2,4024,Action
Night School,13.0,6.2,1508,Comedy
The Tourist,26.4,6.2,4979,Action
Final Fantasy: The Spirits Within,14.9,6.2,1291,Adventure
The Invention of Lying,14.0,6.2,1826,Comedy
The Interview,35.3,6.2,5227,Action
Horrible Bosses 2,29.3,6.2,3775,Comedy
Centurion,13.6,6.2,1232,Adventure
Hummingbird,34.3,6.2,1501,Action
Paycheck,15.0,6.2,1587,Action
Tau,12.6,6.2,1109,Science Fiction
Neighbors,23.9,6.2,6450,Comedy
Red Heat,15.4,6.2,1251,Action
Morbius,116.6,6.2,3416,Action
I Am Number Four,26.3,6.2,4261,Action
Waterworld,26.8,6.2,3210,Adventure
Blood Father,14.1,6.2,1376,Action
Turbo,26.9,6.2,2914,Animation
Sucker Punch,33.5,6.2,4298,Action
Magic Mike XXL,19.7,6.2,1630,Comedy
Red Lights,15.8,6.2,1097,Thriller
Transformers: Dark of the Moon,23.5,6.2,7483,Action
The New Mutants,30.1,6.2,3000,Science Fiction
London Has Fallen,36.0,6.2,4272,Action
Never Been Kissed,13.8,6.2,1334,Romance
Get Smart,24.3,6.2,3195,Action
Mortal Engines,34.6,6.2,4120,Adventure
Blitz,31.7,6.2,1451,Crime
I Kill Giants,13.6,6.2,1079,Fantasy
The Belko Experiment,11.0,6.2,1256,Horror
The Dictator,38.6,6.2,5250,Comedy
Dante's Peak,21.9,6.2,1618,Action
In Her Shoes,12.4,6.2,1089,Comedy
The Wrong Missy,18.0,6.2,1040,Comedy
Blonde,37.4,6.2,1046,Drama
Knowing,69.5,6.2,4728,Action
Bright,21.5,6.2,5186,Fantasy
So Undercover,16.1,6.2,1053,Action
The Blue Lagoon,19.9,6.2,1605,Romance
Rambo III,32.6,6.2,2728,Action
Happy Feet,43.7,6.2,4602,Animation
Transformers: Revenge of the Fallen,29.0,6.2,7647,Science Fiction
Saw V,26.3,6.2,2972,Horror
Reign of Fire,18.2,6.2,1974,Adventure
The Extraordinary Adventures of Adèle Blanc-Sec,12.9,6.2,1148,Fantasy
Road Trip,17.6,6.2,1674,Comedy
Saw IV,28.4,6.2,3207,Horror
Criminal,20.0,6.2,1541,Action
Krampus,16.0,6.2,1838,Horror
Moonraker,23.9,6.2,1689,Action
Shallow Hal,27.2,6.2,2589,Comedy
John Tucker Must Die,15.4,6.2,1249,Comedy
Magic Mike,23.8,6.2,2706,Drama
Pride and Prejudice and Zombies,24.7,6.2,1984,Romance
Return to Sender,9.9,6.2,1114,Drama
That Awkward Moment,19.4,6.1,2460,Comedy
Dream House,12.6,6.1,1243,Mystery
47 Ronin,29.3,6.1,3452,Drama
This Means War,15.5,6.1,3090,Action
In the Shadow of the Moon,19.5,6.1,1210,Science Fiction
Dead Man Down,21.9,6.1,1301,Thriller
Friday the 13th Part 2,24.3,6.1,1385,Horror
S.W.A.T.,28.5,6.1,2229,Action
The Devil's Own,16.1,6.1,1026,Crime
Push,17.8,6.1,2033,Science Fiction
Cheaper by the Dozen 2,20.9,6.1,1822,Comedy
Antz,25.9,6.1,4017,Adventure
Jumper,37.9,6.1,5172,Action
World Trade Center,16.5,6.1,1480,Drama
Anchorman 2: The Legend Continues,15.5,6.1,2272,Comedy
Transporter 3,30.4,6.1,2991,Action
Journey 2: The Mysterious Island,62.8,6.1,3834,Adventure
The Back-Up Plan,9.9,6.1,1285,Comedy
CHiPS,35.7,6.1,1138,Action
Laggies,11.3,6.1,1046,Comedy
Terminator 3: Rise of the Machines,44.0,6.1,5874,Action
Snake Eyes,10.9,6.1,1156,Thriller
xXx: Return of Xander Cage,77.9,6.1,8384,Action
Open Season,19.6,6.1,2421,Animation
The Ladykillers,10.0,6.1,1408,Comedy
Paper Towns,17.4,6.1,4829,Mystery
LOL,12.8,6.1,2520,Drama
Death Wish,29.7,6.1,2310,Action
Equals,12.1,6.1,1261,Drama
Beauty and the Beast,22.3,6.1,1895,Fantasy
Jobs,13.0,6.1,2253,Drama
The Change-Up,25.8,6.1,2473,Comedy
Shanghai Knights,15.1,6.1,2003,Action
Tolo Tolo,6.7,6.1,1146,Comedy
Night at the Museum: Battle of the Smithsonian,26.6,6.1,6259,Adventure
Alien Resurrection,28.2,6.1,4217,Science Fiction
Home Again,17.1,6.1,1105,Comedy
Jurassic Park III,1.8,6.1,6391,Adventure
Resident Evil: The Final Chapter,1.8,6.1,2772,Action
Under the Skin,26.4,6.1,3023,Thriller
Jeepers Creepers 2,42.3,6.1,1401,Horror
Star Wars: The Clone Wars,26.5,6.1,1745,Animation
Bedtime Stories,26.8,6.1,2568,Fantasy
Anger Management,20.0,6.1,2748,Comedy
Ouija: Origin of Evil,24.5,6.1,2212,Horror
The One,18.5,6.1,1366,Action
Happy Feet Two,31.5,6.1,1406,Animation
The Woman in Black,15.0,6.1,3192,Drama
Goosebumps 2: Haunted Halloween,29.9,6.1,1313,Adventure
Pacific Rim: Uprising,61.3,6.1,4354,Action
Fallen,16.8,6.1,1498,Drama
Just My Luck,11.4,6.1,1714,Comedy
The Lodge,54.0,6.1,1048,Drama
The Babysitter,24.8,6.1,3200,Comedy
Sex and the City 2,24.6,6.1,1490,Comedy
The Girl in the Spider's Web,25.8,6.1,1172,Thriller
The Zero Theorem,7.7,6.1,1068,Drama
Brightburn,46.0,6.1,2734,Horror
Jack Ryan: Shadow Recruit,23.9,6.1,2590,Action
The Texas Chainsaw Massacre: The Beginning,32.0,6.1,1541,Horror
Mission: Impossible II,31.5,6.1,5763,Adventure
V/H/S,15.9,6.1,1317,Thriller
The Strangers,18.4,6.1,2108,Horror
The Amityville Horror,27.1,6.1,1946,Horror
Apostle,10.9,6.1,1264,Horror
Grown Ups 2,94.4,6.1,3787,Comedy
Cinderella II: Dreams Come True,45.8,6.1,1282,Family
Jackass Presents: Bad Grandpa,14.9,6.1,1407,Comedy
Justice League,66.3,6.1,12000,Action
A Thousand Words,16.5,6.1,1196,Drama
The Legend of Zorro,19.3,6.1,2591,Action
The November Man,15.8,6.1,1332,Crime
Allegiant,29.9,6.1,6115,Adventure
Keeping Up with the Joneses,13.2,6.1,1812,Action
Geostorm,90.0,6.1,4280,Action
Duplex,11.5,6.1,1516,Comedy
Baywatch,56.7,6.1,7372,Comedy
Blades of Glory,18.6,6.1,1555,Comedy
Maid in Manhattan,20.7,6.1,1696,Comedy
Friday the 13th: The Final Chapter,26.1,6.1,1103,Horror
Ad Astra,10.7,6.1,5955,Science Fiction
A Haunted House 2,59.8,6.1,1210,Comedy
The Night Before,13.1,6.1,1517,Comedy
Wall Street: Money Never Sleeps,18.4,6.1,1350,Drama
The Sorcerer's Apprentice,36.1,6.1,4526,Fantasy
Surrogates,18.5,6.1,2838,Science Fiction
300: Rise of an Empire,40.5,6.1,5921,Action
The Rite,22.6,6.1,1880,Drama
Valhalla Rising,11.1,6.1,1071,Adventure
Sphere,13.2,6.1,1397,Science Fiction
The Lone Ranger,30.4,6.1,5432,Action
Let It Snow,13.5,6.1,1067,Romance
Fist Fight,14.6,6.1,1139,Comedy
Daylight,17.0,6.1,1343,Action
What Happens in Vegas,16.1,6.1,2721,Comedy
Hitman,55.9,6.1,2927,Action
ARQ,13.5,6.1,1045,Science Fiction
Vivarium,53.2,6.1,1660,Science Fiction
Cocktail,12.8,6.1,1246,Romance
Final Destination 5,39.4,6.1,2978,Horror
Carriers,41.2,6.1,1249,Action
American Ultra,15.3,6.1,2552,Comedy
Gothika,18.3,6.1,2022,Horror
Alien: Covenant,60.2,6.1,7601,Science Fiction
Mike and Dave Need Wedding Dates,19.8,6.1,2293,Comedy
3 Days to Kill,20.1,6.1,1945,Action
Conan the Destroyer,19.4,6.1,1285,Adventure
The Nutcracker and the Four Realms,23.7,6.1,1948,Fantasy
Spiral: From the Book of Saw,46.4,6.1,1535,Horror
Date Night,17.1,6.1,2568,Comedy
Final Destination 3,37.4,6.1,3376,Horror
